iteration,total,bc,pde,supervised
96,3.3201543e14,8.233355,0.92437446,3.3201543e14
97,3.3201543e14,8.236121,0.90519094,3.3201543e14
98,3.3201543e14,8.238463,0.8846746,3.3201543e14
99,3.3201543e14,8.240313,0.86327964,3.3201543e14
100,3.3201543e14,8.2416315,0.84141994,3.3201543e14
101,3.3201543e14,8.242406,0.819474,3.3201543e14
102,3.3201543e14,8.242655,0.7977756,3.3201543e14
103,3.3201543e14,8.242409,0.77661467,3.3201543e14
104,3.3201543e14,8.2417145,0.7562524,3.3201543e14
105,3.3201543e14,8.240648,0.7369543,3.3201543e14
106,3.3201543e14,8.239257,0.7190344,3.3201543e14
107,3.3201543e14,8.237611,0.7028802,3.3201543e14
108,3.3201543e14,8.235773,0.6889374,3.3201543e14
109,3.3201543e14,8.233797,0.6776552,3.3201543e14
110,3.3201543e14,8.231734,0.66941583,3.3201543e14
111,3.3201543e14,8.229637,0.66447645,3.3201543e14
112,3.3201543e14,8.2275505,0.6629383,3.3201543e14
113,3.3201543e14,8.225519,0.6647543,3.3201543e14
114,3.3201543e14,8.223588,0.6697447,3.3201543e14
115,3.3201543e14,8.221796,0.67761534,3.3201543e14
116,3.3201543e14,8.220184,0.68796515,3.3201543e14
117,3.3201543e14,8.218775,0.700294,3.3201543e14
118,3.3201543e14,8.217596,0.714029,3.3201543e14
119,3.3201543e14,8.216649,0.7285708,3.3201543e14
120,3.3201543e14,8.2159395,0.7433628,3.3201543e14
121,3.3201543e14,8.215452,0.7579533,3.3201543e14
122,3.3201543e14,8.215162,0.7720342,3.3201543e14
123,3.3201543e14,8.215072,0.78544104,3.3201543e14
124,3.3201543e14,8.215137,0.7981252,3.3201543e14
125,3.3201543e14,8.2153015,0.81009054,3.3201543e14
126,3.3201543e14,8.215541,0.82136285,3.3201543e14
127,3.3201543e14,8.215846,0.83196753,3.3201543e14
128,3.3201543e14,8.216195,0.841919,3.3201543e14
129,3.3201543e14,8.216605,0.85121834,3.3201543e14
130,3.3201543e14,8.217074,0.8598576,3.3201543e14
131,3.3201543e14,8.217611,0.86783445,3.3201543e14
132,3.3201543e14,8.218222,0.8751622,3.3201543e14
133,3.3201543e14,8.218904,0.88188875,3.3201543e14
134,3.3201543e14,8.21965,0.8881055,3.3201543e14
135,3.3201543e14,8.220437,0.893944,3.3201543e14
136,3.3201543e14,8.221242,0.8995649,3.3201543e14
137,3.3201543e14,8.222029,0.9051441,3.3201543e14
138,3.3201543e14,8.222751,0.9108465,3.3201543e14
139,3.3201543e14,8.223377,0.91681296,3.3201543e14
140,3.3201543e14,8.223856,0.9231503,3.3201543e14
141,3.3201543e14,8.224151,0.9299171,3.3201543e14
142,3.3201543e14,8.22422,0.93712425,3.3201543e14
143,3.3201543e14,8.2240305,0.94473034,3.3201543e14
144,3.3201543e14,8.22357,0.9526469,3.3201543e14
145,3.3201543e14,8.222827,0.9607503,3.3201543e14
146,3.3201543e14,8.221832,0.96889925,3.3201543e14
